FCFS

+----------------------------------------------+
| time   CPU1   CPU2   CPU3   CPU4   IO1   IO2 |
| 1      1      0      0      0      0     0   |
| 2      1      0      0      0      0     0   |
| 3      1      2      0      0      0     0   |
| 4      1      2      0      0      0     0   |
| 5      1      2      3      0      0     0   |
| 6      1      2      3      0      0     0   |
| 7      4      2      3      0      1     0   |
| 8      4      2      3      0      1     0   |
| 9      4      2      5      0      1     0   |
| 10     4      2      5      0      1     0   |
| 11     4      6      5      0      1     0   |
| 12     4      6      5      0      1     0   |
| 13     4      6      5      0      1     0   |
| 14     4      6      5      0      1     0   |
| 15     4      6      0      0      1     0   |
| 16     4      6      0      0      1     0   |
| 17     4      6      0      0      1     0   |
| 18     4      6      0      0      1     0   |
| 19     4      6      0      0      1     0   |
| 20     4      6      0      0      1     0   |
| 21     4      1      0      0      3     0   |
| 22     4      1      0      0      3     0   |
| 23     4      1      0      0      3     0   |
| 24     4      1      0      0      3     0   |
| 25     4      1      0      0      3     0   |
| 26     4      1      0      0      3     0   |
| 27     4      0      0      0      3     0   |
| 28     4      0      0      0      3     0   |
| 29     4      0      0      0      3     0   |
| 30     4      0      0      0      3     0   |
| 31     0      0      0      0      3     4   |
| 32     0      0      0      0      3     4   |
| 33     3      0      0      0      2     4   |
| 34     3      0      0      0      2     4   |
| 35     3      0      0      0      2     4   |
| 36     3      0      0      0      2     4   |
| 37     3      0      0      0      2     4   |
| 38     3      0      0      0      2     4   |
| 39     0      0      0      0      2     4   |
| 40     0      0      0      0      2     4   |
| 41     0      0      0      0      2     4   |
| 42     0      0      0      0      2     4   |
| 43     0      0      0      0      2     4   |
| 44     0      0      0      0      2     4   |
| 45     2      4      0      0      5     0   |
| 46     2      4      0      0      5     0   |
| 47     2      4      0      0      5     0   |
| 48     2      4      0      0      5     0   |
| 49     2      4      0      0      5     0   |
| 50     2      4      0      0      5     0   |
| 51     0      4      0      0      5     2   |
| 52     0      4      0      0      5     2   |
| 53     0      4      0      0      5     2   |
| 54     0      4      0      0      5     2   |
| 55     0      4      0      0      5     2   |
| 56     0      4      0      0      5     2   |
| 57     5      4      0      0      6     2   |
| 58     5      4      0      0      6     2   |
| 59     0      4      0      0      6     2   |
| 60     0      4      0      0      6     2   |
| 61     0      4      0      0      6     2   |
| 62     0      4      0      0      6     2   |
| 63     2      4      0      0      6     5   |
| 64     2      4      0      0      6     5   |
| 65     2      4      0      0      6     5   |
| 66     2      4      0      0      6     5   |
| 67     2      4      0      0      6     5   |
| 68     2      4      0      0      6     5   |
| 69     2      4      0      0      6     5   |
| 70     2      4      0      0      6     5   |
| 71     0      4      0      0      6     5   |
| 72     0      4      0      0      6     5   |
| 73     0      4      0      0      6     5   |
| 74     0      4      0      0      6     5   |
| 75     6      4      0      0      1     5   |
| 76     6      4      0      0      1     5   |
| 77     6      4      0      0      1     5   |
| 78     6      4      0      0      1     5   |
| 79     6      4      0      0      1     5   |
| 80     6      4      0      0      1     5   |
| 81     6      5      0      0      1     2   |
| 82     6      5      0      0      1     2   |
| 83     6      5      0      0      1     2   |
| 84     6      5      0      0      1     2   |
| 85     0      5      0      0      1     2   |
| 86     0      5      0      0      1     2   |
| 87     0      5      0      0      1     2   |
| 88     0      5      0      0      1     2   |
| 89     0      5      0      0      1     2   |
| 90     0      5      0      0      1     2   |
| 91     0      0      0      0      1     2   |
| 92     0      0      0      0      1     2   |
| 93     1      0      0      0      3     2   |
| 94     1      0      0      0      3     2   |
| 95     1      0      0      0      3     2   |
| 96     1      0      0      0      3     2   |
| 97     1      0      0      0      3     2   |
| 98     1      0      0      0      3     2   |
| 99     0      0      0      0      3     2   |
| 100    0      0      0      0      3     2   |
| 101    2      0      0      0      3     4   |
| 102    2      0      0      0      3     4   |
| 103    0      0      0      0      3     4   |
| 104    0      0      0      0      3     4   |
| 105    0      0      0      0      3     4   |
| 106    0      0      0      0      3     4   |
| 107    3      0      0      0      0     4   |
| 108    3      0      0      0      0     4   |
| 109    0      0      0      0      0     4   |
| 110    0      0      0      0      0     4   |
| 111    0      0      0      0      0     4   |
| 112    0      0      0      0      0     4   |
| 113    0      0      0      0      0     4   |
| 114    0      0      0      0      0     4   |
| 115    0      0      0      0      0     4   |
| 116    0      0      0      0      0     4   |
| 117    0      0      0      0      0     4   |
| 118    0      0      0      0      0     4   |
| 119    4      0      0      0      0     6   |
| 120    4      0      0      0      0     6   |
| 121    4      0      0      0      0     6   |
| 122    4      0      0      0      0     6   |
| 123    4      0      0      0      0     6   |
| 124    4      0      0      0      0     6   |
| 125    4      0      0      0      0     6   |
| 126    4      0      0      0      0     6   |
| 127    4      0      0      0      0     6   |
| 128    4      0      0      0      0     6   |
| 129    4      6      0      0      0     5   |
| 130    4      6      0      0      0     5   |
| 131    4      6      0      0      0     5   |
| 132    4      6      0      0      0     5   |
| 133    4      6      0      0      0     5   |
| 134    4      6      0      0      0     5   |
| 135    4      6      0      0      0     5   |
| 136    4      6      0      0      0     5   |
| 137    4      0      0      0      6     5   |
| 138    4      0      0      0      6     5   |
| 139    4      5      0      0      6     1   |
| 140    4      5      0      0      6     1   |
| 141    4      0      0      0      6     1   |
| 142    4      0      0      0      6     1   |
| 143    4      0      0      0      6     1   |
| 144    4      0      0      0      6     1   |
| 145    4      0      0      0      6     1   |
| 146    4      0      0      0      6     1   |
| 147    4      0      0      0      6     1   |
| 148    4      0      0      0      6     1   |
| 149    4      0      0      0      6     1   |
| 150    4      0      0      0      6     1   |
| 151    4      0      0      0      6     1   |
| 152    4      0      0      0      6     1   |
| 153    4      6      1      0      0     2   |
| 154    4      6      1      0      0     2   |
| 155    4      0      0      0      6     2   |
| 156    4      0      0      0      6     2   |
| 157    4      0      0      0      6     2   |
| 158    4      0      0      0      6     2   |
| 159    4      0      0      0      6     2   |
| 160    4      0      0      0      6     2   |
| 161    4      0      0      0      6     2   |
| 162    4      0      0      0      6     2   |
| 163    4      0      0      0      6     2   |
| 164    4      0      0      0      6     2   |
| 165    4      0      0      0      6     3   |
| 166    4      0      0      0      6     3   |
| 167    4      0      0      0      6     3   |
| 168    4      0      0      0      6     3   |
| 169    4      0      0      0      6     3   |
| 170    4      0      0      0      6     3   |
| 171    4      0      0      0      6     3   |
| 172    4      0      0      0      6     3   |
| 173    4      0      0      0      6     3   |
| 174    4      0      0      0      6     3   |
| 175    4      3      0      0      1     5   |
| 176    4      3      0      0      1     5   |
| 177    4      3      0      0      1     5   |
| 178    4      3      0      0      1     5   |
| 179    0      3      0      0      1     5   |
| 180    0      3      0      0      1     5   |
| 181    0      3      0      0      1     5   |
| 182    0      3      0      0      1     5   |
| 183    0      0      0      0      1     5   |
| 184    0      0      0      0      1     5   |
| 185    0      0      0      0      1     5   |
| 186    0      0      0      0      1     5   |
| 187    5      0      0      0      1     4   |
| 188    5      0      0      0      1     4   |
| 189    5      0      0      0      1     4   |
| 190    5      0      0      0      1     4   |
| 191    5      1      0      0      0     4   |
| 192    5      1      0      0      0     4   |
| 193    5      1      0      0      0     4   |
| 194    5      1      0      0      0     4   |
| 195    5      1      0      0      0     4   |
| 196    5      1      0      0      0     4   |
| 197    0      1      0      0      5     4   |
| 198    0      1      0      0      5     4   |
| 199    0      1      0      0      5     4   |
| 200    0      1      0      0      5     4   |
| 201    4      0      0      0      5     3   |
| 202    4      0      0      0      5     3   |
| 203    4      0      0      0      5     3   |
| 204    4      0      0      0      5     3   |
| 205    4      0      0      0      5     3   |
| 206    4      0      0      0      5     3   |
| 207    4      0      0      0      5     3   |
| 208    4      0      0      0      5     3   |
| 209    4      0      0      0      5     3   |
| 210    4      0      0      0      5     3   |
| 211    4      0      0      0      5     3   |
| 212    4      0      0      0      5     3   |
| 213    4      5      0      0      0     3   |
| 214    4      5      0      0      0     3   |
| 215    4      5      0      0      0     3   |
| 216    4      5      0      0      0     3   |
| 217    4      5      0      0      0     3   |
| 218    4      5      0      0      0     3   |
| 219    4      5      3      0      0     1   |
| 220    4      5      3      0      0     1   |
| 221    4      0      3      0      5     1   |
| 222    4      0      3      0      5     1   |
| 223    4      0      0      0      5     1   |
| 224    4      0      0      0      5     1   |
| 225    4      0      0      0      5     1   |
| 226    4      0      0      0      5     1   |
| 227    4      0      0      0      5     1   |
| 228    4      0      0      0      5     1   |
| 229    4      0      0      0      5     1   |
| 230    4      0      0      0      5     1   |
| 231    4      0      0      0      5     1   |
| 232    4      0      0      0      5     1   |
| 233    4      0      0      0      3     1   |
| 234    4      0      0      0      3     1   |
| 235    4      1      0      0      3     0   |
| 236    4      1      0      0      3     0   |
| 237    4      1      0      0      3     0   |
| 238    4      1      0      0      3     0   |
| 239    4      0      0      0      3     1   |
| 240    4      0      0      0      3     1   |
| 241    4      0      0      0      3     1   |
| 242    4      0      0      0      3     1   |
| 243    4      0      0      0      3     1   |
| 244    4      0      0      0      3     1   |
| 245    4      0      0      0      3     1   |
| 246    4      0      0      0      3     1   |
| 247    4      0      0      0      0     1   |
| 248    4      0      0      0      0     1   |
| 249    0      0      0      0      0     1   |
| 250    0      0      0      0      0     1   |
| 251    0      0      0      0      0     1   |
| 252    0      0      0      0      0     1   |
| 253    0      0      0      0      0     4   |
| 254    0      0      0      0      0     4   |
| 255    0      0      0      0      0     4   |
| 256    0      0      0      0      0     4   |
| 257    0      0      0      0      0     4   |
| 258    0      0      0      0      0     4   |
| 259    0      0      0      0      0     4   |
| 260    0      0      0      0      0     4   |
| 261    0      0      0      0      0     4   |
| 262    0      0      0      0      0     4   |
| 263    0      0      0      0      0     4   |
| 264    0      0      0      0      0     4   |
| 265    0      0      0      0      0     4   |
| 266    0      0      0      0      0     4   |
| 267    0      0      0      0      0     4   |
| 268    0      0      0      0      0     4   |
| 269    4      0      0      0      0     0   |
| 270    4      0      0      0      0     0   |
| 271    4      0      0      0      0     0   |
| 272    4      0      0      0      0     0   |
| 273    4      0      0      0      0     0   |
| 274    4      0      0      0      0     0   |
| 275    4      0      0      0      0     0   |
| 276    4      0      0      0      0     0   |
| 277    4      0      0      0      0     0   |
| 278    4      0      0      0      0     0   |
| 279    4      0      0      0      0     0   |
| 280    4      0      0      0      0     0   |
| 281    0      0      0      0      4     0   |
| 282    0      0      0      0      4     0   |
| 283    0      0      0      0      4     0   |
| 284    0      0      0      0      4     0   |
| 285    0      0      0      0      4     0   |
| 286    0      0      0      0      4     0   |
| 287    0      0      0      0      4     0   |
| 288    0      0      0      0      4     0   |
| 289    0      0      0      0      4     0   |
| 290    0      0      0      0      4     0   |
| 291    0      0      0      0      4     0   |
| 292    0      0      0      0      4     0   |
| 293    0      0      0      0      4     0   |
| 294    0      0      0      0      4     0   |
| 295    0      0      0      0      4     0   |
| 296    0      0      0      0      4     0   |
| 297    0      0      0      0      4     0   |
| 298    0      0      0      0      4     0   |
+----------------------------------------------+


Время обслуживания процесса 1: 126
Время обслуживания процесса 2: 80
Время обслуживания процесса 3: 92
Время обслуживания процесса 4: 260
Время обслуживания процесса 5: 118
Время обслуживания процесса 6: 94


Время оборота процесса 1: 251
Время оборота процесса 2: 161
Время оборота процесса 3: 241
Время оборота процесса 4: 291
Время оборота процесса 5: 223
Время оборота процесса 6: 163


Коэффициент голодания 1: 2.0
Коэффициент голодания 2: 2.05
Коэффициент голодания 3: 2.6739130434782608
Коэффициент голодания 4: 1.146153846153846
Коэффициент голодания 5: 1.9661016949152543
Коэффициент голодания 6: 1.851063829787234
RR(1)

+----------------------------------------------+
| time   CPU1   CPU2   CPU3   CPU4   IO1   IO2 |
| 1      1      0      0      0      0     0   |
| 2      1      0      0      0      0     0   |
| 3      2      1      0      0      0     0   |
| 4      2      1      0      0      0     0   |
| 5      3      2      1      0      0     0   |
| 6      3      2      1      0      0     0   |
| 7      4      3      2      0      1     0   |
| 8      4      3      2      0      1     0   |
| 9      5      4      2      0      1     0   |
| 10     5      4      2      0      1     0   |
| 11     6      5      4      0      1     0   |
| 12     6      5      4      0      1     0   |
| 13     6      5      4      0      1     0   |
| 14     6      5      4      0      1     0   |
| 15     6      4      0      0      1     0   |
| 16     6      4      0      0      1     0   |
| 17     6      4      0      0      1     0   |
| 18     6      4      0      0      1     0   |
| 19     6      4      0      0      1     0   |
| 20     6      4      0      0      1     0   |
| 21     4      1      0      0      3     0   |
| 22     4      1      0      0      3     0   |
| 23     4      1      0      0      3     0   |
| 24     4      1      0      0      3     0   |
| 25     4      1      0      0      3     0   |
| 26     4      1      0      0      3     0   |
| 27     4      0      0      0      3     0   |
| 28     4      0      0      0      3     0   |
| 29     4      0      0      0      3     0   |
| 30     4      0      0      0      3     0   |
| 31     0      0      0      0      3     4   |
| 32     0      0      0      0      3     4   |
| 33     3      0      0      0      2     4   |
| 34     3      0      0      0      2     4   |
| 35     3      0      0      0      2     4   |
| 36     3      0      0      0      2     4   |
| 37     3      0      0      0      2     4   |
| 38     3      0      0      0      2     4   |
| 39     0      0      0      0      2     4   |
| 40     0      0      0      0      2     4   |
| 41     0      0      0      0      2     4   |
| 42     0      0      0      0      2     4   |
| 43     0      0      0      0      2     4   |
| 44     0      0      0      0      2     4   |
| 45     2      4      0      0      5     0   |
| 46     2      4      0      0      5     0   |
| 47     2      4      0      0      5     0   |
| 48     2      4      0      0      5     0   |
| 49     2      4      0      0      5     0   |
| 50     2      4      0      0      5     0   |
| 51     4      0      0      0      5     2   |
| 52     4      0      0      0      5     2   |
| 53     4      0      0      0      5     2   |
| 54     4      0      0      0      5     2   |
| 55     4      0      0      0      5     2   |
| 56     4      0      0      0      5     2   |
| 57     4      5      0      0      6     2   |
| 58     4      5      0      0      6     2   |
| 59     4      0      0      0      6     2   |
| 60     4      0      0      0      6     2   |
| 61     4      0      0      0      6     2   |
| 62     4      0      0      0      6     2   |
| 63     4      2      0      0      6     5   |
| 64     4      2      0      0      6     5   |
| 65     4      2      0      0      6     5   |
| 66     4      2      0      0      6     5   |
| 67     4      2      0      0      6     5   |
| 68     4      2      0      0      6     5   |
| 69     4      2      0      0      6     5   |
| 70     4      2      0      0      6     5   |
| 71     4      0      0      0      6     5   |
| 72     4      0      0      0      6     5   |
| 73     4      0      0      0      6     5   |
| 74     4      0      0      0      6     5   |
| 75     4      6      0      0      1     5   |
| 76     4      6      0      0      1     5   |
| 77     4      6      0      0      1     5   |
| 78     4      6      0      0      1     5   |
| 79     4      6      0      0      1     5   |
| 80     4      6      0      0      1     5   |
| 81     6      5      0      0      1     2   |
| 82     6      5      0      0      1     2   |
| 83     6      5      0      0      1     2   |
| 84     6      5      0      0      1     2   |
| 85     5      0      0      0      1     2   |
| 86     5      0      0      0      1     2   |
| 87     5      0      0      0      1     2   |
| 88     5      0      0      0      1     2   |
| 89     5      0      0      0      1     2   |
| 90     5      0      0      0      1     2   |
| 91     0      0      0      0      1     2   |
| 92     0      0      0      0      1     2   |
| 93     1      0      0      0      3     2   |
| 94     1      0      0      0      3     2   |
| 95     1      0      0      0      3     2   |
| 96     1      0      0      0      3     2   |
| 97     1      0      0      0      3     2   |
| 98     1      0      0      0      3     2   |
| 99     0      0      0      0      3     2   |
| 100    0      0      0      0      3     2   |
| 101    2      0      0      0      3     4   |
| 102    2      0      0      0      3     4   |
| 103    0      0      0      0      3     4   |
| 104    0      0      0      0      3     4   |
| 105    0      0      0      0      3     4   |
| 106    0      0      0      0      3     4   |
| 107    3      0      0      0      0     4   |
| 108    3      0      0      0      0     4   |
| 109    0      0      0      0      0     4   |
| 110    0      0      0      0      0     4   |
| 111    0      0      0      0      0     4   |
| 112    0      0      0      0      0     4   |
| 113    0      0      0      0      0     4   |
| 114    0      0      0      0      0     4   |
| 115    0      0      0      0      0     4   |
